discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
180000,42,"Quần tây nam công sở cao cấp AKUBA form regular, co giãn nhẹ, chất liệu mềm mịn ,thoáng mát thấm hút mồ hôi tốt 01T0039",429000,249000,4.5,68,203
0,0,"Áo Khoác Nam, Khoác Dù Nam 2 lớp",155000,155000,0,0,
319000,44,"Bộ Quần Áo Nỉ Nam 5S (5 màu), Chất Liệu Cotton USA, Mềm Mịn, Bền Màu, Không Bai Xù, Co Giãn Thoải Mái (BNI21001)",728000,409000,4.8,119,254
0,0,Bộ Thể Thao Nam Mùa Hè Cao Cấp Chất Thun Co Giãn Thấm Hút Mồ Hôi Tốt Thương Hiệu  ̀ ̀ Mã 1CM7,289000,289000,0,0,
0,0,Áo thun nam kiểu dáng Hàn quốc - phong cách lịch lãm (D2),149000,149000,5,22,55
0,0,áo phao nam siêu nhẹ Lining fom 50-75 kg,129000,129000,0,0,
159200,44,"Quần Bò Nam cao cấp thương hiệu Chandi, chất jean co dãn mẫu mới nhất 2021 mã NT301",358200,199000,4.6,54,123
0,0,"Áo sơ mi nam, áo sơ mi nam Hàn Quốc kẻ karo, kiểu dáng đẹp, trẻ trung năng động.",207500,207500,0,0,
0,0,"Quần jean nam chất jean xịn Julido, Phối xước mẫu mới form đẹp tôn dáng không quá ôm mẫu QJ113",134000,134000,4.3,170,419
0,0,Áo khoác BOMBER chất da unisex Hot hoạ tiết N/Y 03 TM Store,115000,115000,0,0,
82000,43,"5 Quần lót nam lưng Hàn Quốc cotton 4 chiều cao cấp , lưng cao,dàn hồi tốt, quần sịp nam thương hiệu CITYMEN ( Giao màu ngẫu nhiên )",190000,108000,4.5,56,140
0,0,Set Bộ thể thao nam cao cấp thời trang đi chơi biển - HA70,448000,448000,0,0,
10000,10,Quần đùi nam cotton mặc nhà iBasic SHM003,99000,89000,4.7,127,456
0,0,Áo sơ mi nam tay ngắn in họa tiết form ôm dáng chất liệu cotton lụa thoáng mát,125000,125000,0,0,
0,0,"Áo thun Nam Nữ Vonesa, áo phông Unisex Nam Nữ có Size từ 25-84kg B9",25000,25000,4.2,40,165
0,0,Quần Lót Nam Kháng Khuẩn Khử Mùi Tam Giác Thông Hơi Co Gãn 4 Chiều Thoải Mái Vận Động QN01,130000,130000,0,0,
170000,34,Quần Túi Hộp Nam Kaki Thời Trang Phong Cách Thể Thao US678 Chất Vải Kaki Cao Cấp Phong Cách Lính- HÀNG CHÍNH HÃNG,499000,329000,5,126,214
0,0,ÁO SƠ MI NAM PHỐI HỌA TIẾT THÊU PHONG CÁCH THỜI TRANG THỜI THƯỢNG,101200,101200,0,0,
0,0,Áo hoodie nam in hình Cún dễ thương - DS40,69000,69000,4.5,83,232
0,0,Áo Bomber Nam Mới Nhất - Áo Khoác Nam Chất Dày Dặn Cao Cấp,680000,680000,0,0,
0,0,Quần jogger thể thao nam trơn chất gió dù mềm mịn,49000,49000,1.9,23,83
0,0,sơ mi lụa nam kẻ sọc body kiểu dáng hàn quốc,102000,102000,0,0,
127200,44,"Quần jean nam chất jean xịn Julido, Phối rách mẫu mới form đẹp tôn dáng không quá ôm mẫu EY02",286200,159000,4.5,80,198
0,0,Áo giữ nhiệt lót nỉ mềm mại có cổ tay dài phù hợp cho mùa Thu Đông Chất vải thun nỉ cao cấp đẹp,150500,150500,0,0,
119000,50,COMBO 5 Áo thun trơn nam form rộng phong cách hàn quốc vải poly cotton mịn MÀU NGẪU NHIÊN SIÊU SALE !! SIÊU SALE !!,238000,119000,3.7,33,67
0,0,Áo Gió Nam 2 Lớp  ̀ ̀ Chất Liệu Gió Trơn Lót Lưới Cao Cấp Cản Gió Cản Bụi Chống Nắng Gọn Nhẹ Mã 9GM,359000,359000,0,0,
0,0,Áo thun nam tay ngắn cổ tròn form trẻ trung vải thun mềm mát free size dưới 65kg,26900,26900,3.9,43,231
