discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
119000,50,Quan Dui Nam Kaki 6 Mau Tre Trung Phong Cach Han Quoc VICERO ,238000,119000,4.5,460,1218
0,0,Ao Khoac Du Unisex The Future,120000,120000,0,0,
127500,50,"Combo 3 Quan Lot Nam Tam Giac 5S, Chat Cotton Premium Mem Min, Tham Hut Cuc Tot, Van Dong Thoai Mai (X3-SIP21003BRF)",255000,127500,4.6,29,99
69000,20,Ao Khoac Bomber Overco Chat Vai PCGEN Thoi Trang Nam Cao Cap,349000,280000,0,0,
0,0,"Quan jogger unisex the thao, quan ong rong kieu dang jogger mac nha nam nu vai TO ONG 3 mau nang dong",77000,77000,5,14,26
0,0,"Ao khoac phao nam nu am. nhe, day dan co mu",255000,255000,0,0,
0,0,Quan Lot Nam- Sip Lua Nam Tron Khong Duong May Mong Mat K176,64000,64000,4.5,110,507
0,0,"Sip Nam Dang Boxer, Vai Cotton Det Kim Khong Duong May Co Gian 4 Chieu NB17",20000,20000,0,0,
127200,44,"Quan bo nam co dan 4 chieu Julido Store, chat jean mem min xin xo xu huong 2021 BC2",286200,159000,4.5,124,238
0,0,Somi dan day tay thiet ke den,180000,180000,0,0,
159200,44,"Ao khoac nam Julido Store, chat jean cotton xin mau moi LD0000",358200,199000,4.6,97,183
0,0,"Bo quan ao the thao nam phoi mau LCT, chat vai cotton cao cap chong nhan, thoang mat, tham hut mo hoi - THE DUST",329000,329000,0,0,
570000,50,"Quan Kaki Nam Linh My USARMY U629 Cao Cap, Kieu Dang Quan Tui Hop Phong Cach Cuc Ngau -HANG CHINH HANG",1140000,570000,5,43,55
248886,50,Ao chong nang cho cac can thu,500286,251400,0,0,
26000,10,Combo 3 Chiec Quan Lot Nam Aristino ABF16-15,255000,229000,4.7,114,498
0,0,Ao khoac nam cuc hot,59888,59888,0,0,
119500,50,"Ao Thun Nam 5S (7 mau) Tay Ngan Premium, Chat Lieu Cotton Mem Mai, Tham Hut Mo Hoi, Co Gian Thoai Mai (TSO21023)",239000,119500,4.8,102,270
0,0,Ao khoac da nam day keo dong da xin KHONG BONG TROC hang xin cao cap nhat 2021 NYNA STORE,199000,199000,0,0,
0,0,QUAN SHORT KAKI NAM CO GIAN CAO CAP LUNG THUN BT01,39000,39000,1.8,4,18
0,0,QUAN LOT NAM - Dang Day Jocsktrap Pha Cach Nang Mong Nhe - Thun Luoi,89000,89000,0,0,
